id,url,primaryTitle,originalTitle,type,description,primaryImage,trailer,contentRating,isAdult,releaseDate,startYear,endYear,runtimeMinutes,genres,interests,countriesOfOrigin,externalLinks,spokenLanguages,filmingLocations,productionCompanies,budget,grossWorldwide,averageRating,numVotes,metascore
tt15495150,https://www.imdb.com/title/tt15495150/,The Witcher: Sirens of the Deep,The Witcher: Sirens of the Deep,movie,"Hired to probe seaside village attacks, mutant monster hunter Geralt unravels an age-old conflict between humans and sea people that threatens war between kingdoms. Aided by allies, he must solve the mystery before hostilities escalate.",https://m.media-amazon.com/images/M/MV5BODJhNWI4NTQtOWVlOS00MWQyLWI2MTktYzRiNzk4Yzg2YjQyXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=PYzqa1CDTik,TV-MA,False,2025-02-11,2025,,91.0,"['Action', 'Adventure', 'Animation']","['Adult Animation', 'Anime', 'Dark Fantasy', 'Action', 'Adventure', 'Animation', 'Drama', 'Fantasy', 'Mystery']","['PL', 'KR', 'US']",['https://www.netflix.com/title/81484026?s=i&trkid=258593161'],"['en', 'pl']",,"[{'id': 'co0007038', 'name': 'Hivemind'}, {'id': 'co0650527', 'name': 'Netflix Studios'}, {'id': 'co0144901', 'name': 'Netflix'}]",,,6.1,8618,54.0
tt32627545,https://www.imdb.com/title/tt32627545/,Watchmen: Chapter II,Watchmen: Chapter II,movie,"In an alternate 1985 America, a group of retired superheroes investigate a conspiracy after one of their own is murdered.",https://m.media-amazon.com/images/M/MV5BOGEyYTQ2ODctNzQ1NS00NWEyLWE5NzEtNjgzYTIwYjlmODE0XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=VEX3fJMNxwc,R,False,2024-11-26,2024,,90.0,"['Action', 'Animation', 'Drama']","['Adult Animation', 'Computer Animation', 'Dystopian Sci-Fi', 'Action', 'Animation', 'Drama', 'Mystery', 'Sci-Fi']",['US'],,['en'],,"[{'id': 'co0123927', 'name': 'DC Entertainment'}, {'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0072876', 'name': 'Warner Bros. Animation'}]",,,7.0,3223,
tt26219008,https://www.imdb.com/title/tt26219008/,Riki Rhino: The Bird Kingdom,Riki Rhino: The Bird Kingdom,movie,"A fun, family adventure that follows a brave rhino named Riki and his duck friend Beni as they journey through tropical jungles to find a magic seed that will help save their home from a foreseen tsunami.",https://m.media-amazon.com/images/M/MV5BODIzM2FhZjMtMGU3ZC00OWNhLThhMGMtMTgwYzk3NThkYmU1XkEyXkFqcGc@._V1_.jpg,,,False,2024-02-01,2024,,109.0,['Animation'],['Animation'],"['ID', 'US']",['https://fragmanizlesene.com/riki-rhino-kahraman-kanatlar/'],['en'],,"[{'id': 'co0301105', 'name': 'Batavia Pictures'}, {'id': 'co0918319', 'name': 'Jackrabbit Media'}, {'id': 'co0459027', 'name': 'Launch Releasing'}]",,29026.0,5.1,25,
tt23322940,https://www.imdb.com/title/tt23322940/,Little Emma,Little Emma,movie,"A miniature girl raised by animal parents journeys to an island of tiny humans, uncovering unsettling revelations about her origins.",https://m.media-amazon.com/images/M/MV5BZjkzODY3MjAtZGQzMS00NGI3LWI2M2UtMmFiYjY2NjI2NjA0XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=C15Txt1J1vA,TV-PG,False,2024-06-27,2024,,106.0,"['Adventure', 'Animation', 'Family']","['Adventure', 'Animation', 'Family']","['US', 'CN', 'IE', 'IN']",['https://tv.apple.com/movie/little-emma/umc.cmc.5syereji4jah9da4rl80m81gp'],['en'],,"[{'id': 'co0898219', 'name': 'Bootleg Universe'}, {'id': 'co0091878', 'name': 'Fís Éireann / Screen Ireland'}, {'id': 'co0587565', 'name': 'Gold Valley Films'}]",,940542.0,6.0,118,
tt31123288,https://www.imdb.com/title/tt31123288/,The Casagrandes Movie,The Casagrandes Movie,movie,"After a surprise family trip to Mexico derails Ronnie Anne's birthday plans, she is determined to prove she's old enough to do her own thing - even if it means confronting an ancient preteen demigod whose angst has apocalyptic potential.",https://m.media-amazon.com/images/M/MV5BOTRkODE2ZTgtODAzNS00NWZmLTgxNmQtNDk5ODNjOWYyYmMyXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=jOCIRd7kQZ8,TV-Y7,False,2024-03-22,2024,,89.0,"['Adventure', 'Animation', 'Comedy']","['Hand-Drawn Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['US'],['https://www.netflix.com/title/81221344'],"['en', 'es']",,"[{'id': 'co0044395', 'name': 'Nickelodeon Animation Studios'}, {'id': 'co0004265', 'name': 'Nickelodeon Movies'}]",,,5.5,677,
tt33586590,https://www.imdb.com/title/tt33586590/,I Now Pronounce You Retro & Ellie,I Now Pronounce You Retro & Ellie,movie,Jamieson and Ellie are finally getting married today in an epic celebration they planned to make unforgettable for themselves and all attending friends and family.,https://m.media-amazon.com/images/M/MV5BN2Q0NTRkYTAtYTVhNi00MzVjLWI4MWEtNWQxMmNkMGNkNTQzXkEyXkFqcGc@._V1_.jpg,,,False,2025-02-22,2025,,,"['Animation', 'Comedy', 'Musical']","['Animation', 'Comedy', 'Musical']",['US'],['https://www.youtube.com/@RetroMiller1997'],['en'],,[],,,6.8,13,
tt32404684,https://www.imdb.com/title/tt32404684/,Transformers: 40th Anniversary Event,Transformers: 40th Anniversary Event,movie,,https://m.media-amazon.com/images/M/MV5BMjNkNzJmNmMtMzVlMC00ZTdkLWExM2YtNzM5NDE3NjliNTM5XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=unocKJUwhjA,,False,2024-05-15,2024,,96.0,['Animation'],['Animation'],['US'],['https://www.transformers40thcinemaevent.com/home/'],['en'],,"[{'id': 'co1014953', 'name': 'Hasbro Entertainment'}]",2000000.0,54321.0,7.0,29,
tt13186482,https://www.imdb.com/title/tt13186482/,Mufasa: The Lion King,Mufasa: The Lion King,movie,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",https://m.media-amazon.com/images/M/MV5BYjBkOWUwODYtYWI3YS00N2I0LWEyYTktOTJjM2YzOTc3ZDNlXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=o17MF9vnabg,PG,False,2024-12-20,2024,,118.0,"['Adventure', 'Animation', 'Drama']","['Animal Adventure', 'Computer Animation', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical']","['US', 'CA']",['https://movies.disney.com/mufasa-the-lion-king'],"['en', 'sw']",['Botswana'],"[{'id': 'co0008970', 'name': 'Walt Disney Pictures'}, {'id': 'co0191414', 'name': 'Québec Production Services Tax Credit'}]",200000000.0,672737639.0,6.6,67264,56.0
tt16983588,https://www.imdb.com/title/tt16983588/,Maxxie LaWow: Drag Super-shero,Maxxie LaWow: Drag Super-shero,movie,"A shy barista's life transforms when a magic wig turns him into drag queen Maxxie LaWow, tasked with finding missing queens held by Dyna Bolical who wants their anti-aging tears.",https://m.media-amazon.com/images/M/MV5BYTY0NDE0ZmMtODljZi00YmU5LTlhNzEtYmVjYzlkZDVlZDNjXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=mhN9pts9Nnk,,False,2024-09-20,2024,,114.0,"['Animation', 'Comedy', 'Fantasy']","['Animation', 'Comedy', 'Fantasy']",['US'],['http://www.maxxie.com/'],['en'],,"[{'id': 'co0963521', 'name': 'Lost Wig Productions'}, {'id': 'co0903085', 'name': 'Chubby Beagle Productions'}]",,,8.3,60,
tt15352542,https://www.imdb.com/title/tt15352542/,The Day the Earth Blew Up: A Looney Tunes Movie,The Day the Earth Blew Up: A Looney Tunes Movie,movie,Porky Pig and Daffy Duck are Earth's only hope when facing the threat of alien invasion.,https://m.media-amazon.com/images/M/MV5BOTgxODk4OTQtMjc2MC00NGRmLWJlMmMtNTdlZjI1NDE0NzE0XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=BtHUWHXfDyU,PG,False,2025-03-14,2024,,91.0,"['Adventure', 'Animation', 'Comedy']","['Alien Invasion', 'Buddy Comedy', 'Hand-Drawn Animation', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",['US'],['https://gfmanimation.com/films/the-day-the-earth-blew-up/'],['en'],,"[{'id': 'co0072876', 'name': 'Warner Bros. Animation'}]",15000000.0,13896775.0,7.0,4805,69.0
